OrigZoneNo,DestZoneNo,Time,Time_Minutes,FromStopPointNo,ToStopPointNo,PathIndex
352,905,9545.0,159.08333333333334,766,2236,7
353,905,10183.0,169.71666666666667,780,2236,7
354,905,3494.0,58.233333333333334,511,2236,4
355,905,7345.0,122.41666666666667,1785,2236,9
356,905,5579.0,92.98333333333333,1391,2236,1
357,905,6987.0,116.45,1468,2236,4
358,905,5570.0,92.83333333333333,554,2236,25
359,905,6436.0,107.26666666666667,1660,17,15
360,905,1805.0,30.083333333333332,11,2236,11
361,905,9173.0,152.88333333333333,79384,2236,4
362,905,5672.0,94.53333333333333,2141,2236,24
363,905,5981.0,99.68333333333334,557,2236,30
364,905,6423.0,107.05,691,2236,12
365,905,13393.0,223.21666666666667,726,2236,5
366,905,4833.0,80.55,582,2236,31
367,905,7231.0,120.51666666666667,1739,2236,9
368,905,4089.0,68.15,1069,2236,2
369,905,5938.0,98.96666666666667,559,2236,29
370,905,1980.0,33.0,828,2236,9
371,905,5863.0,97.71666666666667,933,2236,19
372,905,4746.0,79.1,584,2236,18
373,905,9887.0,164.78333333333333,772,2236,7
374,905,14284.0,238.06666666666666,728,2236,5
375,905,4521.0,75.35,190,17,8
376,905,4830.0,80.5,582,2236,31
377,905,7344.0,122.4,1968,17,9
378,905,11197.0,186.61666666666667,784,2236,7
379,905,5108.0,85.13333333333334,702,2236,37
380,905,7230.0,120.5,1465,2236,4
381,905,961.0,16.016666666666666,1665,2236,16
382,905,652.0,10.866666666666667,1664,2236,5
383,905,4749.0,79.15,227,2236,4
384,905,1670.0,27.833333333333332,15,2236,11
385,905,3204.0,53.4,269,2236,3
386,905,10443.0,174.05,780,2236,7
387,905,4671.0,77.85,645,2236,18
388,905,6181.0,103.01666666666667,682,2236,13
389,905,9478.0,157.96666666666667,756,2236,7
390,905,5565.0,92.75,1098,2236,15
391,905,5439.0,90.65,1390,2236,1
392,905,2556.0,42.6,36,2236,16
393,905,7659.0,127.65,1262,2236,4
394,905,4370.0,72.83333333333333,1427,2236,5
395,905,7864.0,131.06666666666666,806,2236,7
396,905,8116.0,135.26666666666668,796,2236,7
397,905,6887.0,114.78333333333333,617,2236,12
398,905,3102.0,51.7,1149,17,1
399,905,4603.0,76.71666666666667,2131,2236,6
400,905,5876.0,97.93333333333334,1391,2236,1
401,905,2260.0,37.666666666666664,2050,2236,13
402,905,5858.0,97.63333333333334,1273,2236,6
403,905,916.0,15.266666666666667,53,2236,16
404,905,5209.0,86.81666666666666,1344,17,7
405,905,8639.0,143.98333333333332,992,2236,7
406,905,6385.0,106.41666666666667,1973,17,9
407,905,6654.0,110.9,1525,2236,4
408,905,6798.0,113.3,1171,2236,1
409,905,12118.0,201.96666666666667,1938,17,3
410,905,3778.0,62.96666666666667,374,2236,7
411,905,3357.0,55.95,1593,17,1
412,905,1156.0,19.266666666666666,1847,17,1
