Origin,Origin_Population,Destination,Uses_Public_Transport,FromStopPointNo,ToStopPointNo,Access_Time_Minutes,Egress_Time_Minutes,Access_Distance_Meters,Egress_Distance_Meters,Mejor_JRT,Mejor_NTR,Mejor_RIT,Mejor_ACT,Mejor_EGT,Mejor_ACD,Mejor_EGD,Mejor_SFQ,Mejor_JRD,Mejor_RID,Mejor_TWT
100,94.0,642,False,,,462.10911778749994,0.0,36968.729423,0.0,26.72,0.0,0.0,25.07,1.65,1.672,0.11,0.0,1.782,0.0,0.0
101,348605.0,603,False,,,126.219164955,0.0,10097.5331964,0.0,5.42,0.0,0.0,4.58,0.83,0.306,0.056,0.0,0.361,0.0,0.0
102,174.0,593,True,1502.0,978.0,25.15128024,1.9945926925,2012.1024192,159.5674154,33.52,0.0,4.3,27.12,2.1,1.808,0.14,47.0,5.018,3.07,0.0
103,36.0,641,True,113250.0,750.0,21.50830787125,2.82428233625,1720.6646297,225.9425869,19.68,0.0,1.35,15.0,3.33,1.0,0.222,7.0,2.757,1.535,0.0
104,40.0,562,True,1404.0,262540.0,6.3337937150000005,2.89121662125,506.7034972,231.2973297,11.78,0.0,5.3,4.48,2.0,0.298,0.134,33.0,3.616,3.184,0.0
105,36.0,651,False,,,348.845248235,0.0,27907.6198588,0.0,20.95,0.0,0.0,18.5,2.45,1.233,0.163,0.0,1.396,0.0,0.0
106,27.0,563,True,199.0,203.0,25.43256612375,0.0990648575,2034.6052899,7.9251886,15.88,0.0,3.58,12.13,0.17,0.809,0.011,87.0,2.743,1.923,0.0
107,6.0,645,False,,,243.1996852825,0.0,19455.9748226,0.0,16.25,0.0,0.0,15.82,0.43,1.054,0.029,0.0,1.083,0.0,0.0
108,27.0,517,False,,,209.9388126025,0.0,16795.1050082,0.0,10.5,0.0,0.0,9.92,0.58,0.661,0.039,0.0,0.699,0.0,0.0
109,743.0,589,False,,,73.40345024625,0.0,5872.2760197,0.0,4.8,0.0,0.0,2.62,2.18,0.175,0.146,0.0,0.32,0.0,0.0
110,81.0,598,True,710.0,555.0,0.96348907,1.130945055,77.0791256,90.4756044,10.47,0.0,8.98,0.63,0.85,0.042,0.057,8.0,5.815,5.717,0.0
111,452.0,641,False,,,348.85288240374996,0.0,27908.2305923,0.0,5.37,0.0,0.0,2.03,3.33,0.135,0.222,0.0,0.357,0.0,0.0
112,25.0,673,False,,,192.73214570125,0.0,15418.5716561,0.0,15.1,0.0,0.0,13.6,1.5,0.907,0.1,0.0,1.006,0.0,0.0
113,36.0,699,False,,,202.96807947625,0.0,16237.4463581,0.0,18.13,0.0,0.0,13.8,4.33,0.92,0.288,0.0,1.209,0.0,0.0
114,22.0,569,False,,,443.86482084375,0.0,35509.1856675,0.0,20.58,0.0,0.0,15.93,4.65,1.063,0.309,0.0,1.372,0.0,0.0
115,5752.0,578,False,,,222.0089200925,0.0,17760.7136074,0.0,7.57,0.0,0.0,3.7,3.87,0.246,0.258,0.0,0.504,0.0,0.0
116,25.0,562,True,1382.0,262540.0,12.167667668750001,2.89121662125,973.4134135,231.2973297,15.8,0.0,2.62,11.18,2.0,0.745,0.134,31.0,4.158,3.279,0.0
117,7.0,636,True,1393.0,1394.0,17.567223103750003,2.2465177425,1405.3778483,179.7214194,10.1,0.0,2.23,4.85,3.02,0.323,0.201,81.0,1.548,1.024,0.0
118,29816.0,665,True,1997.0,1376.0,8.367091558750001,1.5771896425,669.3673247,126.1751714,9.13,0.0,0.53,7.57,1.03,0.504,0.068,97.0,1.233,0.66,0.0
119,448.0,643,False,,,725.96580151625,0.0,58077.2641213,0.0,1.45,0.0,0.0,1.35,0.1,0.09,0.006,0.0,0.097,0.0,0.0
120,78.0,577,True,1419.0,1886.0,36.539156758749996,4.82713958375,2923.1325407,386.1711667,29.62,0.0,0.58,24.85,4.18,1.656,0.279,54.0,2.567,0.632,0.0
121,72.0,641,True,747.0,750.0,,2.82428233625,,225.9425869,7.28,0.0,3.17,0.78,3.33,0.052,0.222,7.0,3.25,2.976,0.0
122,31.0,579,True,620.0,623.0,1.921460905,2.14087209875,153.7168724,171.2697679,7.57,0.0,4.12,1.92,1.53,0.127,0.103,100.0,2.103,1.873,0.0
123,482.0,579,True,650.0,611.0,3.1847606387500003,1.1361693925,254.7808511,90.8935514,3.53,0.0,0.63,2.17,0.73,0.145,0.049,142.0,0.803,0.61,0.0
124,251.0,696,True,662.0,696.0,0.31281822375,2.20176868,25.0254579,176.1414944,4.6,0.0,1.37,0.63,2.6,0.042,0.173,7.0,1.206,0.991,0.0
125,159.0,709,True,542.0,545.0,3.5298430875,3.68897219,282.387447,295.1177752,6.35,0.0,3.1,2.78,0.47,0.185,0.031,18.0,2.386,2.17,0.0
126,30.0,696,True,659.0,661.0,2.8795691925,3.09073340375,230.3655354,247.2586723,8.12,0.0,2.27,1.92,3.93,0.128,0.262,21.0,2.277,1.888,0.0
127,26.0,512,True,415.0,339.0,10.7472249,0.07783910375,859.777992,6.2271283,7.38,0.0,1.67,5.22,0.5,0.348,0.034,171.0,1.46,1.078,0.0
128,337.0,644,False,,,666.73117591625,0.0,53338.4940733,0.0,3.72,0.0,0.0,0.67,3.05,0.044,0.204,0.0,0.248,0.0,0.0
129,113.0,658,False,,,801.11596692875,0.0,64089.2773543,0.0,1.98,0.0,0.0,0.47,1.52,0.031,0.102,0.0,0.132,0.0,0.0
130,31.0,630,True,2020.0,2273.0,2.77052299625,1.45925472875,221.6418397,116.7403783,4.33,0.0,1.32,1.3,1.72,0.086,0.114,3.0,0.913,0.712,0.0
131,171.0,658,True,1246.0,1252.0,21.58872579125,1.53150451,1727.0980633,122.5203608,21.07,0.0,2.73,16.82,1.52,1.121,0.102,8.0,3.717,2.494,0.0
132,368.0,633,False,,,546.7165894225,0.0,43737.3271538,0.0,5.95,0.0,0.0,4.08,1.87,0.272,0.124,0.0,0.396,0.0,0.0
133,3445.0,563,True,199.0,203.0,3.3772259275000005,0.0990648575,270.1780742,7.9251886,6.8,0.0,3.58,3.05,0.17,0.203,0.011,87.0,2.137,1.923,0.0
134,335.0,636,False,,,419.7299208575,0.0,33578.3936686,0.0,4.78,0.0,0.0,2.0,2.78,0.133,0.185,0.0,0.318,0.0,0.0
135,753.0,574,True,510.0,512.0,5.8107257162499995,0.8308609887499999,464.8580573,66.4688791,7.95,0.0,3.3,3.7,0.95,0.247,0.064,83.0,1.902,1.592,0.0
136,474.0,652,False,,,516.9696918325001,0.0,41357.5753466,0.0,2.43,0.0,0.0,1.3,1.13,0.086,0.075,0.0,0.161,0.0,0.0
137,300.0,511,True,1994.0,1992.0,13.424527094999998,1.03955254375,1073.9621676,83.1642035,9.97,0.0,0.43,8.78,0.75,0.586,0.05,82.0,1.054,0.418,0.0
138,183.0,651,False,,,323.6432720975,0.0,25891.4617678,0.0,4.9,0.0,0.0,2.45,2.45,0.164,0.163,0.0,0.327,0.0,0.0
139,3851.0,582,False,,,259.48144185125,0.0,20758.5153481,0.0,4.85,0.0,0.0,2.55,2.3,0.17,0.154,0.0,0.324,0.0,0.0
140,431.0,662,True,2254.0,1055.0,4.422624900000001,0.9812879062500001,353.809992,78.5030325,4.4,0.0,0.58,2.98,0.83,0.198,0.056,8.0,0.64,0.386,0.0
