Origin,Origin_ZoneName,Origin_Population,Destination,Journey_Type,Uses_Public_Transport,FromStopPointNo,ToStopPointNo,Access_Time_Minutes,Travel_Time_Minutes,Egress_Time_Minutes,Total_Time_Minutes,Access_Distance_Meters,Egress_Distance_Meters,PathIndex,Mapeada_JRT,Mapeada_NTR,Mapeada_RIT,Mapeada_ACT,Mapeada_EGT,Mapeada_ACD,Mapeada_EGD,Mapeada_SFQ,Mapeada_JRD,Mapeada_RID,Mapeada_TWT
63,Arteaga Derio,3761,903,Public Transport,True,512.0,2064.0,15.53450215,33.55,,,1242.760172,,15.0,33.55,0,21.87,9.18,2.5,0.612,0.166,13,15.093,14.314,0.0
64,Aspiuntza,30,901,Public Transport,True,1348.0,1005.0,53.8101867725,66.25,1.089115005,121.1493017775,4304.8149418,87.1292004,43.0,66.25,0,33.25,31.9,1.1,2.126,0.074,40,16.077,13.877,0.0
65,Asteitza,45,901,Public Transport,True,1394.0,1078.0,5.4229442325,11.416666666666666,0.9184603362500001,17.758071235416665,433.8355386,73.4768269,2.0,11.42,0,4.12,6.37,0.93,0.424,0.062,65,3.019,2.532,0.0
66,Astepe,50,901,Public Transport,True,1388.0,1078.0,1.8441773824999999,15.116666666666667,0.9184603362500001,17.879304385416667,147.5341906,73.4768269,29.0,15.12,0,12.83,1.35,0.93,0.09,0.062,30,8.74,8.587,0.0
67,Asterria,43,901,Public Transport,True,2174.0,1078.0,30.140410107500003,39.35,0.9184603362500001,70.40887044375,2411.2328086,73.4768269,34.0,39.35,0,25.53,12.88,0.93,0.859,0.062,34,19.1,18.178,0.0
68,Asterrika,28,901,Public Transport,True,1490.0,1078.0,37.09289674875,72.56666666666666,0.9184603362500001,110.57802375166668,2967.4317399,73.4768269,5.0,72.57,0,60.93,10.7,0.93,0.713,0.062,15,51.763,50.987,0.0
69,Astrabudua,10312,903,Public Transport,True,56.0,283.0,11.02825626875,46.03333333333333,,,882.2605015,,35.0,46.03,2,34.05,7.9,4.08,0.527,0.272,31,13.563,12.764,4.17
70,Atxondoa,53,901,Public Transport,True,1107.0,1078.0,3.624252665,45.8,0.9184603362500001,50.34271300125,289.9402132,73.4768269,18.0,45.8,1,42.13,2.73,0.93,0.182,0.062,17,25.376,25.132,6.07
71,Atxuri,155,904,Public Transport,True,1631.0,2220.0,9.444788749999999,29.98333333333333,0.90773412,40.33585620333333,755.5831,72.6187296,15.0,29.98,0,18.48,10.8,0.7,0.719,0.047,15,12.144,11.378,0.0
72,Aulesti,372,901,Public Transport,True,1257.0,1078.0,3.84506127,71.61666666666666,0.9184603362500001,76.38018827291667,307.6049016,73.4768269,6.0,71.62,0,67.65,3.03,0.93,0.202,0.062,8,44.102,43.838,0.0
73,Axpe-San Bartolome,787,901,Public Transport,True,1101.0,1078.0,1.0279030275,51.81666666666667,0.9184603362500001,53.76303003041667,82.2322422,73.4768269,18.0,51.82,1,49.55,1.33,0.93,0.089,0.062,17,31.054,30.903,6.07
74,Azurreka,33,901,Public Transport,True,1536.0,1078.0,9.93493330375,18.716666666666665,0.9184603362500001,29.570060306666665,794.7946643,73.4768269,2.0,18.72,0,9.33,8.45,0.93,0.563,0.062,64,6.402,5.777,0.0
75,Bakixa,22,901,Public Transport,True,1413.0,1078.0,29.231624,34.71666666666667,0.9184603362500001,64.86675100291667,2338.52992,73.4768269,36.0,38.87,0,22.25,15.68,0.93,1.046,0.062,38,17.478,16.37,0.0
76,Baldatika,32,901,Public Transport,True,1109.0,1078.0,38.3176875575,73.38333333333334,0.9184603362500001,112.61948122708336,3065.4150046,73.4768269,18.0,73.38,1,40.25,32.2,0.93,2.147,0.062,17,26.355,24.146,6.07
77,Balmaseda,7575,903,Public Transport,True,679.0,283.0,14.315896731250001,63.833333333333336,,,1145.2717385,,13.0,63.83,0,51.42,8.33,4.08,0.556,0.272,14,37.451,36.624,0.0
78,Barainka,6,901,Public Transport,True,1047.0,1078.0,19.47149238625,92.13333333333334,0.9184603362500001,112.52328605583335,1557.7193909,73.4768269,9.0,92.13,0,70.85,20.35,0.93,1.357,0.062,8,50.226,48.807,0.0
79,Baratz Eder,89,901,Public Transport,True,1219.0,1078.0,9.524628674999999,75.15,0.9184603362500001,85.59308901125002,761.970294,73.4768269,23.0,78.48,1,62.65,14.9,0.93,0.993,0.062,17,38.359,37.304,6.07
80,Bargondia,56,901,Public Transport,True,1975.0,1078.0,45.26120641875,42.0,0.9184603362500001,88.179666755,3620.8965135,73.4768269,10.0,42.0,0,27.47,13.6,0.93,0.907,0.062,15,16.71,15.741,0.0
81,Basauntz,59,901,Public Transport,True,1532.0,1078.0,10.751323935,17.25,0.9184603362500001,28.919784271250002,860.1059148,73.4768269,39.0,17.25,0,14.68,1.63,0.93,0.109,0.062,37,9.964,9.793,0.0
82,Baserri-Santa Ana,2494,904,Public Transport,True,2077.0,2219.0,4.91335080375,21.966666666666665,0.79330144375,27.673318914166664,393.0680643,63.4641155,9.0,21.97,0,17.15,3.88,0.93,0.258,0.062,15,7.056,6.736,0.0
83,Basetxeta-Atxoste,24,901,Public Transport,True,1059.0,1078.0,16.383018817499998,63.03333333333333,0.9184603362500001,80.33481248708334,1310.6415054,73.4768269,9.0,63.03,0,45.03,17.07,0.93,1.137,0.062,8,34.062,32.862,0.0
84,Basozabal,3737,903,Public Transport,True,475.0,2064.0,1.154984505,21.866666666666667,,,92.3987604,,15.0,21.87,0,17.92,1.45,2.5,0.096,0.166,13,11.612,11.35,0.0
85,Batiz,37,904,Public Transport,True,1192.0,2220.0,25.36070007375,68.76666666666667,0.90773412,95.03510086041666,2028.8560059,72.6187296,3.0,68.77,1,58.88,9.18,0.7,0.612,0.047,5,18.198,17.539,25.72
86,Bedaroa,38,901,Public Transport,True,1862.0,1078.0,0.7940414474999999,69.96666666666667,0.9184603362500001,71.67916845041668,63.5233158,73.4768269,9.0,69.97,0,68.45,0.58,0.93,0.038,0.062,8,47.115,47.014,0.0
87,Begoñako Ama,35,904,Public Transport,True,7.0,2219.0,7.14562119,46.55,0.79330144375,54.48892263375,571.6496952,63.4641155,11.0,46.55,1,40.6,5.02,0.93,0.334,0.062,21,13.902,13.505,6.65
