Zona_Origen,Poblacion_Origen,Zona_Destino,Usa_Transporte_Publico,Parada_Origen,Parada_Destino,Tiempo_Acceso_Minutos,Tiempo_Salida_Minutos,Distancia_Acceso_Metros,Distancia_Salida_Metros,Fuente_Datos_Acceso,Fuente_Datos_Salida,Tiempo_Viaje_Total_Minutos,Tiempo_Trayecto_Minutos,Numero_Transbordos,Distancia_Viaje_Total_Km,Distancia_Trayecto_Km,Tiempo_Espera_Transbordo_Minutos,Frecuencia_Servicio,Tiempo_Acceso_Original,Tiempo_Salida_Original,Distancia_Acceso_Original_Km,Distancia_Salida_Original_Km,Tiempo_Viaje_Original_Minutos,Tiempo_Total_Puerta_a_Puerta_Minutos,Verificacion_Tiempo_Total
39,32.0,901,True,1529.0,1078.0,4.746733186249999,0.91846033625,379.7386549,73.4768269,Calculado,Calculado,24.1151935225,18.45,0.0,12.278,11.949,0.0,31.0,4.02,0.93,0.267,0.062,23.4,24.1151935225,24.1151935225
40,20.0,901,True,1316.0,1078.0,9.069443665,0.91846033625,725.5554932,73.4768269,Calculado,Calculado,67.25790400125001,57.27,1.0,26.809,26.547,10.05,14.0,2.98,0.93,0.199,0.062,61.18,67.25790400125001,77.30790400125001
41,247.0,902,True,890.0,249.0,2.22072758625,1.52,177.6582069,101.0,Calculado,Mapeado,18.620727586250002,14.88,0.0,9.118,8.852,0.0,32.0,2.48,1.52,0.165,0.101,18.88,18.620727586250002,18.620727586250002
42,1245.0,901,True,1523.0,1078.0,3.34813628,0.91846033625,267.8509024,73.4768269,Calculado,Calculado,27.896596616249997,23.63,0.0,17.053,16.879,0.0,31.0,1.67,0.93,0.111,0.062,26.23,27.896596616249997,27.896596616249997
43,25409.0,900,True,830.0,419.0,6.8274537075,3.92419108875,546.1962966,313.9352871,Calculado,Calculado,25.10164479625,14.35,0.0,10.041,9.432,0.0,33.0,6.17,2.97,0.411,0.198,23.48,25.10164479625,25.10164479625
44,76.0,901,True,1322.0,1078.0,1.56526593375,0.91846033625,125.2212747,73.4768269,Calculado,Calculado,55.853726269999996,53.37,1.0,24.543,24.363,10.05,11.0,1.78,0.93,0.119,0.062,56.08,55.853726269999996,65.90372626999999
45,35.0,901,True,1422.0,1078.0,8.7827784675,0.91846033625,702.6222774,73.4768269,Calculado,Calculado,42.75123880375,33.05,1.0,32.087,31.503,0.4,20.0,7.82,0.93,0.521,0.062,41.8,42.75123880375,43.15123880375
46,7.0,900,True,698.0,271.0,10.02550770625,1.57028923875,802.0406165,125.6231391,Calculado,Calculado,49.215796945,37.62,1.0,19.322,18.945,0.57,19.0,4.38,1.27,0.292,0.085,43.27,49.215796945,49.785796945
47,487.0,901,True,1567.0,1005.0,1.6271509600000005,1.089115005,130.1720768,87.1292004,Calculado,Calculado,44.63626596500001,41.92,0.0,18.927,18.725,0.0,27.0,1.92,1.1,0.128,0.074,44.93,44.63626596500001,44.63626596500001
48,544.0,901,True,447.0,1078.0,16.12284062875,0.91846033625,1289.8272503,73.4768269,Calculado,Calculado,38.371300964999996,21.33,1.0,12.909,12.649,0.52,3.0,2.97,0.93,0.197,0.062,25.23,38.371300964999996,38.891300965
49,33744.0,901,True,196.0,1005.0,4.25314280625,1.089115005,340.2514245,87.1292004,Calculado,Calculado,20.77225781125,15.43,0.0,8.146,7.867,0.0,68.0,2.38,1.8,0.159,0.12,19.62,20.77225781125,20.77225781125
50,900.0,901,True,1356.0,1005.0,4.8836529275,1.089115005,390.6922342,87.1292004,Calculado,Calculado,15.3027679325,9.33,0.0,5.068,4.754,0.0,123.0,3.6,1.1,0.241,0.074,14.03,15.3027679325,15.3027679325
51,66.0,901,True,1320.0,1078.0,2.85127564125,0.91846033625,228.1020513,73.4768269,Calculado,Calculado,58.5197359775,54.75,1.0,25.373,25.145,10.05,11.0,2.48,0.93,0.165,0.062,58.17,58.5197359775,68.5697359775
52,608.0,904,True,2109.0,1648.0,0.4082983462499999,6.839990448749999,32.6638677,547.1992359,Calculado,Calculado,54.318288795,47.07,1.0,16.265,15.85,19.5,20.0,0.2,6.03,0.014,0.402,53.3,54.318288795,73.818288795
53,48.0,901,True,1109.0,1078.0,12.05358385875,0.91846033625,964.2867087,73.4768269,Calculado,Calculado,53.222044195,40.25,1.0,24.752,24.146,6.07,17.0,8.17,0.93,0.544,0.062,49.35,53.222044195,59.292044195
54,365.0,901,True,1536.0,1078.0,0.86095978875,0.91846033625,68.8767831,73.4768269,Calculado,Calculado,11.109420125,9.33,0.0,5.893,5.777,0.0,60.0,0.82,0.93,0.055,0.062,11.08,11.109420125,11.109420125
55,53.0,901,True,331603.0,1078.0,35.40212754125,0.91846033625,2832.1702033,73.4768269,Calculado,Calculado,48.420587877500004,12.1,0.0,8.343,7.222,0.0,43.0,15.88,0.93,1.058,0.062,28.92,48.420587877500004,48.420587877500004
56,58.0,901,True,2232.0,1078.0,1.21346450125,0.91846033625,97.0771601,73.4768269,Calculado,Calculado,58.7519248375,56.62,1.0,32.64,32.475,16.25,14.0,1.55,0.93,0.103,0.062,59.1,58.7519248375,75.0019248375
57,512.0,902,True,130.0,209.0,1.84622321875,1.58,147.6978575,106.0,Calculado,Mapeado,30.356223218750003,26.93,2.0,11.698,11.514,2.23,33.0,1.17,1.58,0.078,0.106,29.68,30.356223218750003,32.58622321875
58,6159.0,901,True,203.0,1004.0,4.9353690225,2.95083712375,394.8295218,236.0669699,Calculado,Calculado,36.40620614625,28.52,0.0,11.966,11.691,0.0,36.0,2.32,1.8,0.155,0.12,32.63,36.40620614625,36.40620614625
59,30.0,901,True,999.0,1078.0,43.77141175625,0.91846033625,3501.7129405,73.4768269,Calculado,Calculado,82.3698720925,37.68,0.0,37.246,36.079,0.0,15.0,16.57,0.93,1.105,0.062,55.18,82.3698720925,82.3698720925
60,925.0,900,True,37.0,419.0,5.79821170375,3.92419108875,463.8569363,313.9352871,Calculado,Calculado,21.0924027925,11.37,0.0,8.06,7.566,0.0,34.0,4.43,2.97,0.296,0.198,18.77,21.0924027925,21.0924027925
61,1185.0,900,True,2150.0,419.0,1.05851567875,3.92419108875,84.6812543,313.9352871,Calculado,Calculado,15.1627067675,10.18,0.0,7.797,7.053,0.0,34.0,8.2,2.97,0.547,0.198,21.35,15.1627067675,15.1627067675
