Zona_Origen,Poblacion_Origen,Zona_Destino,Usa_Transporte_Publico,Parada_Origen,Parada_Destino,Tiempo_Acceso_Minutos,Tiempo_Salida_Minutos,Distancia_Acceso_Metros,Distancia_Salida_Metros,Fuente_Datos_Acceso,Fuente_Datos_Salida,Tiempo_Viaje_Total_Minutos,Tiempo_Trayecto_Minutos,Distancia_Viaje_Total_Km,Distancia_Trayecto_Km,Numero_Transbordos,Tiempo_Espera_Transbordo_Minutos,Frecuencia_Servicio,Tiempo_Acceso_Original,Tiempo_Salida_Original,Distancia_Acceso_Original_Km,Distancia_Salida_Original_Km,Tiempo_Viaje_Original_Minutos,Distancia_Viaje_Original_Km,Verificacion_Tiempo_Total,Verificacion_Distancia_Total_Km
64,30.0,905,True,1348,17,53.8101867725,9.87,4304.8149418,658.0,Calculado,Mapeado,135.5301867725,71.85,33.1678149418,28.205,3.0,5.88,17.0,31.9,9.87,2.126,0.658,113.62,30.989,135.5301867725,33.1678149418
65,45.0,905,True,1394,2236,5.4229442325,9.87,433.8355386,658.0,Calculado,Mapeado,89.0629442325,73.77,30.199835538600002,29.108,2.0,8.15,20.0,6.37,9.87,0.424,0.658,90.0,30.191,89.0629442325,30.199835538600002
66,50.0,905,True,1405,2236,2.21716608,0.63,177.3732864,42.0,Calculado,Mapeado,89.59716608,86.75,49.9053732864,49.686,2.0,33.92,17.0,1.83,0.63,0.122,0.042,89.22,49.85,89.59716608,49.9053732864
67,43.0,905,True,2174,2236,30.140410107500003,0.63,2411.2328086,42.0,Calculado,Mapeado,146.22041010750002,115.45,53.878232808599996,51.425,2.0,14.78,19.0,12.88,0.63,0.859,0.042,128.97,52.326,146.22041010750002,53.878232808599996
68,28.0,905,True,1490,2236,37.09289674875,0.63,2967.4317399,42.0,Calculado,Mapeado,159.99289674874998,122.27,73.2394317399,70.23,2.0,35.77,7.0,10.7,0.63,0.713,0.042,133.6,70.985,159.99289674874998,73.2394317399
69,10312.0,905,True,527,2236,2.35771478375,0.63,188.6171827,42.0,Calculado,Mapeado,8.96771478375,5.98,3.6956171826999995,3.465,0.0,0.0,17.0,2.12,0.63,0.142,0.042,8.73,3.649,8.96771478375,3.6956171826999995
70,53.0,905,True,1107,2236,3.624252665,0.63,289.9402132,42.0,Calculado,Mapeado,82.704252665,78.45,45.4469402132,45.115,2.0,25.4,8.0,2.73,0.63,0.182,0.042,81.82,45.339,82.704252665,45.4469402132
71,155.0,905,True,1688,17,9.50030958125,9.87,760.0247665,658.0,Calculado,Mapeado,67.39030958125001,48.02,29.5730247665,28.155,2.0,5.77,20.0,10.58,9.87,0.706,0.658,68.47,29.519,67.39030958125001,29.5730247665
72,372.0,905,True,1257,2236,3.84506127,0.63,307.6049016,42.0,Calculado,Mapeado,129.47506127,125.0,64.0636049016,63.714,2.0,39.55,4.0,3.03,0.63,0.202,0.042,128.67,63.958,129.47506127,64.0636049016
73,787.0,905,True,1101,2236,1.0279030275,0.63,82.2322422,42.0,Calculado,Mapeado,88.22790302749999,86.57,51.0112322422,50.887,2.0,25.4,18.0,1.33,0.63,0.089,0.042,88.53,51.017,88.22790302749999,51.0112322422
74,33.0,905,True,1391,2236,12.36099525,9.87,988.87962,658.0,Calculado,Mapeado,101.23099525,79.0,33.27987962,31.633,2.0,8.15,19.0,9.57,9.87,0.638,0.658,98.43,32.929,101.23099525,33.27987962
75,22.0,905,True,1413,2236,29.231624,0.63,2338.52992,42.0,Calculado,Mapeado,104.341624,74.48,44.41852992,42.038,2.0,33.92,14.0,15.67,0.63,1.044,0.042,90.78,43.124,104.341624,44.41852992
76,32.0,905,True,1109,2236,38.3176875575,0.63,3065.4150046,42.0,Calculado,Mapeado,115.76768755749998,76.82,47.2374150046,44.13,2.0,25.4,13.0,32.2,0.63,2.147,0.042,109.65,46.319,115.76768755749998,47.2374150046
77,7575.0,905,True,679,2236,14.31589673125,0.63,1145.2717385,42.0,Calculado,Mapeado,117.29589673125,102.35,48.265271738500005,47.078,4.0,26.47,12.0,8.33,0.63,0.556,0.042,111.32,47.676,117.29589673125,48.265271738500005
78,6.0,905,True,1047,2236,19.47149238625,0.63,1557.7193909,42.0,Calculado,Mapeado,155.40149238625,135.3,70.39771939090001,68.798,2.0,41.47,7.0,20.35,0.63,1.357,0.042,156.28,70.197,155.40149238625,70.39771939090001
79,89.0,905,True,1200,17,13.268047963750002,9.87,1061.4438371,658.0,Calculado,Mapeado,84.55804796375001,61.42,36.5764438371,34.857,1.0,3.58,22.0,8.22,9.87,0.548,0.658,79.5,36.063,84.55804796375001,36.5764438371
80,56.0,905,True,1975,17,45.26120641875,9.87,3620.8965135,658.0,Calculado,Mapeado,155.05120641875,99.92,46.5958965135,42.317,2.0,8.15,13.0,13.6,9.87,0.907,0.658,123.38,43.881,155.05120641875,46.5958965135
81,59.0,905,True,1532,17,10.751323935,9.87,860.1059148,658.0,Calculado,Mapeado,106.421323935,85.8,37.8871059148,36.369,2.0,8.15,18.0,1.63,9.87,0.109,0.658,97.3,37.136,106.421323935,37.8871059148
82,2494.0,905,True,2077,17,4.91335080375,9.87,393.0680643,658.0,Calculado,Mapeado,57.05335080375,42.27,21.1330680643,20.082,1.0,0.53,13.0,3.88,9.87,0.258,0.658,56.02,20.999,57.05335080375,21.1330680643
83,24.0,905,True,1059,2236,16.383018817499998,0.63,1310.6415054,42.0,Calculado,Mapeado,124.2930188175,107.28,54.2066415054,52.854,2.0,41.47,4.0,17.07,0.63,1.137,0.042,124.98,54.033,124.2930188175,54.2066415054
84,3737.0,905,True,475,2236,1.154984505,0.63,92.3987604,42.0,Calculado,Mapeado,48.48498450500001,46.7,9.0953987604,8.961,1.0,31.87,22.0,1.45,0.63,0.096,0.042,48.78,9.1,48.48498450500001,9.0953987604
85,37.0,905,True,1192,2236,25.36070007375,0.63,2028.8560059,42.0,Calculado,Mapeado,116.31070007374998,90.32,32.4548560059,30.384,2.0,30.37,5.0,9.18,0.63,0.612,0.042,100.13,31.038,116.31070007374998,32.4548560059
86,38.0,905,True,1862,2236,0.7940414474999999,0.63,63.5233158,42.0,Calculado,Mapeado,134.2740414475,132.85,67.1115233158,67.006,2.0,41.47,4.0,0.58,0.63,0.038,0.042,134.07,67.086,134.2740414475,67.1115233158
87,35.0,905,True,2050,2236,16.4966508,0.63,1319.732064,42.0,Calculado,Mapeado,47.746650800000005,30.62,6.852732064,5.491,1.0,15.37,28.0,10.68,0.63,0.712,0.042,41.93,6.246,47.746650800000005,6.852732064
88,71.0,905,True,972,2236,8.872220635,0.63,709.7776508,42.0,Calculado,Mapeado,67.302220635,57.8,22.8037776508,22.052,3.0,16.47,21.0,8.08,0.63,0.539,0.042,66.52,22.633,67.302220635,22.8037776508
89,45.0,905,True,1561,17,1.27525690375,9.87,102.0205523,658.0,Calculado,Mapeado,116.52525690375,105.38,47.950020552299996,47.19,3.0,5.88,14.0,0.77,9.87,0.051,0.658,116.02,47.899,116.52525690375,47.950020552299996
90,4544.0,905,True,2132,2236,2.40197232125,0.63,192.1577857,42.0,Calculado,Mapeado,48.951972321250004,45.92,11.1951577857,10.961,1.0,23.53,7.0,1.75,0.63,0.116,0.042,48.3,11.12,48.951972321250004,11.1951577857
91,16507.0,905,True,1199,17,4.68046334,9.87,374.4370672,658.0,Calculado,Mapeado,76.83046334000001,62.28,36.6424370672,35.61,1.0,3.58,21.0,4.42,9.87,0.294,0.658,76.57,36.563,76.83046334000001,36.6424370672
92,36.0,905,True,1413,2236,35.8706173075,0.63,2869.6493846,42.0,Calculado,Mapeado,110.9806173075,74.48,44.9496493846,42.038,2.0,33.92,16.0,21.0,0.63,1.4,0.042,96.12,43.48,110.9806173075,44.9496493846
93,26.0,905,True,750,2236,63.1924555825,0.63,5055.3964466,42.0,Calculado,Mapeado,219.8024555825,155.98,74.4563964466,69.359,4.0,60.43,7.0,48.18,0.63,3.213,0.042,204.8,72.613,219.8024555825,74.4563964466
94,2046.0,905,True,1696,2236,3.59562569875,0.63,287.6500559,42.0,Calculado,Mapeado,70.87562569875,66.65,18.2066500559,17.877,2.0,36.63,16.0,2.68,0.63,0.179,0.042,69.97,18.098,70.87562569875,18.2066500559
95,100.0,905,True,1483,2236,32.49465461,0.63,2599.5723688,42.0,Calculado,Mapeado,125.52465461,92.4,53.1475723688,50.506,3.0,25.93,15.0,24.2,0.63,1.613,0.042,117.23,52.161,125.52465461,53.1475723688
96,3804.0,905,True,1714,2236,2.1402040225,0.63,171.2163218,42.0,Calculado,Mapeado,89.1002040225,86.33,45.655216321800005,45.442,1.0,33.55,6.0,10.03,0.63,0.669,0.042,97.0,46.152,89.1002040225,45.655216321800005
97,36.0,905,True,811,2236,15.73442221625,0.63,1258.7537773,42.0,Calculado,Mapeado,143.53442221625,127.17,47.6737537773,46.373,4.0,60.43,7.0,14.18,0.63,0.946,0.042,141.98,47.361,143.53442221625,47.6737537773
98,79.0,905,True,748,2236,17.8635540625,0.63,1429.084325,42.0,Calculado,Mapeado,171.8435540625,153.35,68.24208432500001,66.771,4.0,60.43,7.0,12.93,0.63,0.862,0.042,166.92,67.675,171.8435540625,68.24208432500001
99,41.0,905,True,1394,2236,2.3134517312500003,9.87,185.0761385,658.0,Calculado,Mapeado,85.95345173125,73.77,29.951076138500003,29.108,2.0,8.15,20.0,2.57,9.87,0.171,0.658,86.2,29.937,85.95345173125,29.951076138500003
100,94.0,905,True,1973,17,40.08112193875,9.87,3206.4897551,658.0,Calculado,Mapeado,145.95112193875002,96.0,44.5664897551,40.702,2.0,8.15,13.0,25.3,9.87,1.687,0.658,131.17,43.047,145.95112193875002,44.5664897551
101,348605.0,905,True,1832,2236,4.5186814225,9.87,361.4945138,658.0,Calculado,Mapeado,37.7386814225,23.35,12.4864945138,11.467,0.0,0.0,24.0,16.6,9.87,1.106,0.658,49.82,13.232,37.7386814225,12.4864945138
102,174.0,905,True,1493,2236,25.32566284875,0.63,2026.0530279,42.0,Calculado,Mapeado,128.98566284875,103.03,59.7330530279,57.665,2.0,35.77,7.0,27.35,0.63,1.823,0.042,131.02,59.53,128.98566284875,59.7330530279
103,36.0,905,True,784,2236,21.2243718575,0.63,1697.9497486,42.0,Calculado,Mapeado,176.4743718575,154.62,69.5409497486,67.801,4.0,60.43,7.0,15.0,0.63,1.0,0.042,170.25,68.843,176.4743718575,69.5409497486
