Origin,Origin_Population,Destination,Uses_Public_Transport,FromStopPointNo,ToStopPointNo,Access_Time_Minutes,Egress_Time_Minutes,Access_Distance_Meters,Egress_Distance_Meters,Total_Time_Minutes,Journey_Type,Mejor_JRT,Mejor_NTR,Mejor_RIT,Mejor_ACT,Mejor_EGT,Mejor_ACD,Mejor_EGD,Mejor_SFQ,Mejor_JRD,Mejor_RID,Mejor_TWT
428,41.0,750,True,1236.0,220863.0,18.1238817875,1.43194523875,1449.910543,114.5556191,56.93916035958334,Public Transport,37.38,0.0,20.12,16.87,0.4,1.124,0.027,8.0,13.578,12.426,0.0
429,47.0,750,True,989.0,220863.0,22.7600941175,1.43194523875,1820.8075294,114.5556191,37.892039356249995,Public Transport,13.7,0.0,3.67,9.63,0.4,0.642,0.027,22.0,4.234,3.566,0.0
430,3322.0,716,True,1396.0,1078.0,7.623889881249999,0.9184603362500001,609.9111905,73.4768269,16.6923502175,Public Transport,8.15,0.0,1.42,5.8,0.93,0.387,0.062,5.0,1.496,1.047,0.0
431,48.0,713,True,1014.0,1689.0,11.12360680125,0.7462701862500001,889.8885441,59.7016149,29.136543654166665,Public Transport,18.53,0.0,10.25,7.8,0.48,0.52,0.032,46.0,6.481,5.93,0.0
432,110.0,733,True,754.0,587.0,14.51260633375,1.5842107925,1161.0085067,126.7368634,31.44681712625,Public Transport,15.35,1.0,8.38,6.02,0.95,0.401,0.064,23.0,5.688,5.224,1.05
433,10120.0,714,True,370.0,271.0,2.3443998974999998,1.57028923875,187.5519918,125.6231391,13.63135580291667,Public Transport,9.72,0.0,6.73,1.72,1.27,0.114,0.085,61.0,3.684,3.485,0.0
434,110.0,757,True,562.0,230.0,0.6764284899999999,4.62241227,54.1142792,369.7929816,19.08217409333333,Public Transport,15.48,0.0,10.13,1.45,3.9,0.096,0.26,34.0,6.548,6.191,0.0
435,914.0,746,True,403.0,111.0,4.353728065,5.23873227375,348.2982452,419.0985819,28.04246033875,Public Transport,18.45,0.0,9.82,3.98,4.65,0.265,0.31,12.0,7.139,6.563,0.0
436,2832.0,739,True,1424.0,1425.0,4.4812923075,7.551894625,358.5033846,604.15157,18.7831869325,Public Transport,6.75,0.0,0.0,4.58,2.17,0.306,0.144,16.0,1.021,0.571,0.0
437,148.0,717,True,877.0,249.0,7.678175738749999,,614.2540591,,,Public Transport,38.55,0.0,29.08,7.95,1.52,0.53,0.101,7.0,18.686,18.055,0.0
438,29.0,728,True,95.0,151.0,10.6427141675,1.6741110225,851.4171334,133.9288818,28.183491856666667,Public Transport,15.87,0.0,6.73,7.98,1.15,0.533,0.077,17.0,4.516,3.907,0.0
439,382.0,717,True,888.0,249.0,1.9434647875,,155.477183,,,Public Transport,19.62,0.0,16.12,1.98,1.52,0.133,0.101,32.0,9.978,9.744,0.0
440,216.0,726,True,1655.0,184.0,0.9661937525000001,1.93204646625,77.2955002,154.5637173,22.88157355208333,Public Transport,19.98,0.0,17.15,1.0,1.83,0.066,0.123,42.0,7.861,7.672,0.0
441,500.0,732,True,2072.0,2049.0,2.2566843362499998,1.4382949875,180.5347469,115.063599,17.42831265708333,Public Transport,13.73,0.0,10.52,1.58,1.63,0.105,0.108,36.0,4.518,4.304,0.0
442,47.0,729,True,1493.0,1446.0,43.32740062625,5.18588491375,3466.1920501,414.8707931,103.97995220666667,Public Transport,55.47,0.0,18.72,32.25,4.5,2.15,0.3,15.0,14.504,12.053,0.0
443,287.0,716,True,1529.0,1078.0,3.5685691475,0.9184603362500001,285.4855318,73.4768269,26.420362817083333,Public Transport,21.93,0.0,18.45,2.55,0.93,0.17,0.062,30.0,12.181,11.949,0.0
444,151.0,750,True,989.0,220863.0,27.819553839999998,1.43194523875,2225.5643072,114.5556191,55.701499078750004,Public Transport,26.45,0.0,3.67,22.38,0.4,1.492,0.027,17.0,5.084,3.566,0.0
445,621.0,713,True,1061.0,1274.0,2.771822405,2.98574116875,221.7457924,238.8592935,16.15756357375,Public Transport,10.4,0.0,5.53,1.23,3.63,0.082,0.243,13.0,4.489,4.165,0.0
446,47.0,726,True,1568.0,197.0,67.03604090249999,1.7622562262500001,5362.8832722,140.9804981,132.11496379541666,Public Transport,65.43,0.0,23.92,39.93,1.58,2.662,0.105,31.0,14.25,11.483,0.0
447,26.0,750,True,1237.0,220863.0,19.72235498625,1.43194523875,1577.7883989,114.5556191,56.354300225,Public Transport,35.2,0.0,18.48,16.32,0.4,1.087,0.027,8.0,12.6,11.485,0.0
448,387.0,726,True,1332.0,197.0,3.7608527475000004,1.7622562262500001,300.8682198,140.9804981,49.62310897375001,Public Transport,45.13,0.0,39.18,4.37,1.58,0.291,0.105,5.0,15.342,14.945,0.0
449,601.0,752,True,1141.0,1718.0,6.43863562125,5.48546768625,515.0908497,438.8374149,36.30743664083333,Public Transport,24.38,0.0,16.45,4.22,3.72,0.282,0.248,18.0,11.402,10.872,0.0
450,1778.0,726,True,1560.0,197.0,1.06004024875,1.7622562262500001,84.8032199,140.9804981,57.50562980833333,Public Transport,58.6,0.0,56.07,0.95,1.58,0.063,0.105,25.0,27.619,27.451,0.0
451,53.0,716,True,1392.0,1078.0,9.99718818125,0.9184603362500001,799.7750545,73.4768269,21.4156485175,Public Transport,10.5,0.0,7.45,2.12,0.93,0.142,0.062,65.0,4.609,4.405,0.0
452,425.0,717,True,937.0,249.0,20.19208181375,,1615.3665451,,,Public Transport,35.53,0.0,27.48,6.53,1.52,0.435,0.101,26.0,18.075,17.538,0.0
453,119.0,726,True,1563.0,197.0,9.191551188750001,1.7622562262500001,735.3240951,140.9804981,47.05380741500001,Public Transport,36.1,0.0,28.78,5.73,1.58,0.382,0.105,27.0,15.324,14.837,0.0
