Zona_Origen;Poblacion_Origen;Zona_Destino;Usa_Transporte_Publico;Parada_Origen;Parada_Destino;Tiempo_Acceso_Minutos;Tiempo_Salida_Minutos;Distancia_Acceso_Metros;Distancia_Salida_Metros;Tiempo_Viaje_Total_Minutos;Tiempo_Trayecto_Minutos;Numero_Transbordos;Distancia_Viaje_Total_Km;Distancia_Trayecto_Km;Tiempo_Espera_Transbordo_Minutos;Frecuencia_Servicio
115;5752;578;False;;;3.70;3.87;246.00;258.00;7.57;0;0;0.504;0;0;0
116;25;562;True;1382;262540;12.17;2.89;973.41;231.30;17.68;2.62;0;4.158;3.279;0;31
117;7;636;True;1393;1394;17.57;2.25;1405.38;179.72;22.04;2.23;0;1.548;1.024;0;81
118;29816;665;True;1997;1376;8.37;1.58;669.37;126.18;10.47;0.53;0;1.233;0.66;0;97
119;448;643;False;;;1.35;0.10;90.00;6.00;1.45;0;0;0.097;0;0;0
120;78;577;True;1419;1886;36.54;4.83;2923.13;386.17;41.95;0.58;0;2.567;0.632;0;54
121;72;641;True;747;750;0.78;2.82;52.00;225.94;6.77;3.17;0;3.25;2.976;0;7
122;31;579;True;620;623;1.92;2.14;153.72;171.27;8.18;4.12;0;2.103;1.873;0;100
123;482;579;True;650;611;3.18;1.14;254.78;90.89;4.95;0.63;0;0.803;0.61;0;142
124;251;696;True;662;696;0.31;2.20;25.03;176.14;3.88;1.37;0;1.206;0.991;0;7
125;159;709;True;542;545;3.53;3.69;282.39;295.12;10.32;3.1;0;2.386;2.17;0;18
126;30;696;True;659;661;2.88;3.09;230.37;247.26;8.24;2.27;0;2.277;1.888;0;21
127;26;512;True;415;339;10.75;0.08;859.78;6.23;12.50;1.67;0;1.46;1.078;0;171
128;337;644;False;;;0.67;3.05;44.00;204.00;3.72;0;0;0.248;0;0;0
129;113;658;False;;;0.47;1.52;31.00;102.00;1.98;0;0;0.132;0;0;0
130;31;630;True;2020;2273;2.77;1.46;221.64;116.74;5.55;1.32;0;0.913;0.712;0;3
131;171;658;True;1246;1252;21.59;1.53;1727.10;122.52;25.85;2.73;0;3.717;2.494;0;8
132;368;633;False;;;4.08;1.87;272.00;124.00;5.95;0;0;0.396;0;0;0
133;3445;563;True;199;203;3.38;0.10;270.18;7.93;7.06;3.58;0;2.137;1.923;0;87
134;335;636;False;;;2.00;2.78;133.00;185.00;4.78;0;0;0.318;0;0;0
135;753;574;True;510;512;5.81;0.83;464.86;66.47;9.94;3.3;0;1.902;1.592;0;83
136;474;652;False;;;1.30;1.13;86.00;75.00;2.43;0;0;0.161;0;0;0
137;300;511;True;1994;1992;13.42;1.04;1073.96;83.16;14.89;0.43;0;1.054;0.418;0;82
