Origin,Origin_Population,Destination,Uses_Public_Transport,FromStopPointNo,ToStopPointNo,Access_Time_Minutes,Egress_Time_Minutes,Access_Distance_Meters,Egress_Distance_Meters,Total_Time_Minutes,Journey_Type,Mejor_JRT,Mejor_NTR,Mejor_RIT,Mejor_ACT,Mejor_EGT,Mejor_ACD,Mejor_EGD,Mejor_SFQ,Mejor_JRD,Mejor_RID,Mejor_TWT
376,68.0,718,True,2212,284,1.19663592875,,95.7308743,,,Public Transport,29.32,0.0,26.6,0.18,2.53,0.012,0.169,32.0,15.378,15.198,0.0
377,40.0,718,True,1968,278,27.575404811250003,,2206.0323849,,,Public Transport,81.28,2.0,57.05,22.92,1.32,1.528,0.088,15.0,31.313,29.698,9.35
378,32.0,718,True,784,278,64.62966080125,,5170.3728641,,,Public Transport,138.92,1.0,99.75,35.08,4.08,2.338,0.272,7.0,55.325,52.715,12.52
379,156.0,718,True,554,284,7.82100989625,,625.6807917,,,Public Transport,43.57,0.0,38.73,2.3,2.53,0.153,0.169,38.0,19.904,19.582,0.0
380,28.0,718,True,1465,284,1.59993306375,,127.9946451,,,Public Transport,74.82,2.0,70.88,1.4,2.53,0.093,0.169,14.0,47.272,47.01,8.18
381,171.0,718,True,58,2064,9.81521488125,,785.2171905,,,Public Transport,21.83,0.0,10.9,8.43,2.5,0.562,0.166,40.0,7.767,7.039,0.0
382,53.0,718,True,2030,2064,2.8491611675,,227.9328934,,,Public Transport,15.85,0.0,10.82,2.53,2.5,0.169,0.166,12.0,9.727,9.391,0.0
383,46088.0,718,True,227,245,6.264304532500001,,501.1443626,,,Public Transport,30.53,0.0,19.85,6.12,4.57,0.408,0.304,60.0,9.196,8.484,0.0
384,1558.0,718,True,15,283,6.9903467500000005,,559.22774,,,Public Transport,27.8,0.0,10.82,14.48,2.5,0.966,0.166,15.0,10.524,9.391,0.0
385,28255.0,718,True,269,245,1.22738964875,,98.1911719,,,Public Transport,15.07,0.0,9.32,1.18,4.57,0.079,0.304,108.0,5.124,4.741,0.0
386,31.0,718,True,780,278,31.760831009999997,,2540.8664808,,,Public Transport,126.35,1.0,102.08,20.18,4.08,1.345,0.272,7.0,56.969,55.352,12.52
387,4165.0,718,True,645,283,5.2248395425,,417.9871634,,,Public Transport,30.85,0.0,22.12,4.65,4.08,0.31,0.272,14.0,17.221,16.64,0.0
388,582.0,718,True,2195,283,7.919967712499999,,633.597417,,,Public Transport,46.62,0.0,35.52,7.02,4.08,0.468,0.272,14.0,26.329,25.589,0.0
389,242.0,718,True,756,278,3.967834225,,317.426738,,,Public Transport,110.27,1.0,102.18,4.0,4.08,0.267,0.272,7.0,55.993,55.455,12.52
390,290.0,718,True,1098,284,2.13190105125,,170.5520841,,,Public Transport,77.78,2.0,72.73,2.52,2.53,0.167,0.169,42.0,50.433,50.098,4.57
391,56.0,718,True,1390,278,0.9377842825,,75.0227426,,,Public Transport,55.2,1.0,47.27,6.62,1.32,0.441,0.088,35.0,24.558,24.029,2.27
