Zona_Origen,Nombre_Zona_Origen,Poblacion_Origen,Zona_Destino,Usa_Transporte_Publico,Parada_Origen,Parada_Destino,Tiempo_Acceso_Minutos,Tiempo_Salida_Minutos,Distancia_Acceso_Metros,Distancia_Salida_Metros,Fuente_Datos_Acceso,Fuente_Datos_Salida,Tiempo_Viaje_Total_Minutos,Tiempo_Trayecto_Minutos,Numero_Transbordos,Distancia_Viaje_Total_Km,Distancia_Trayecto_Km,Tiempo_Espera_Transbordo_Minutos,Frecuencia_Servicio,Tiempo_Acceso_Original,Tiempo_Salida_Original,Distancia_Acceso_Original_Km,Distancia_Salida_Original_Km,Tiempo_Viaje_Original_Minutos,Tiempo_Total_Puerta_a_Puerta_Minutos,Verificacion_Tiempo_Total
85,Batiz,37,904,True,1192.0,2220.0,25.36070007375,0.90773412,2028.8560059,72.6187296,Calculado,Calculado,85.14843419375,58.88,1,18.198,17.539,25.72,5,9.18,0.7,0.612,0.047,68.77,85.14843419375,110.86843419375
86,Bedaroa,38,901,True,1862.0,1078.0,0.7940414474999999,0.91846033625,63.5233158,73.4768269,Calculado,Calculado,70.16250178375002,68.45,0,47.115,47.014,0.0,8,0.58,0.93,0.038,0.062,69.97,70.16250178375002,70.16250178375002
87,Begoñako Ama,35,904,True,7.0,2219.0,7.14562119,0.79330144375,571.6496952,63.4641155,Calculado,Calculado,48.538922633750005,40.6,1,13.902,13.505,6.65,21,5.02,0.93,0.334,0.062,46.55,48.538922633750005,55.18892263375
88,Bekea,71,901,True,957.0,1005.0,7.066631940000001,1.089115005,565.3305552,87.1292004,Calculado,Calculado,10.625746945000001,2.47,0,2.575,2.062,0.0,136,6.6,1.1,0.44,0.074,10.17,10.625746945000001,10.625746945000001
89,Bengoetxea,45,901,True,1561.0,1004.0,1.27525690375,2.95083712375,102.0205523,236.0669699,Calculado,Calculado,79.89609402750001,75.67,0,32.822,32.65,0.0,23,0.77,1.8,0.051,0.12,78.23,79.89609402750001,79.89609402750001
90,Berango,4544,904,True,2080.0,2219.0,5.86429660625,0.79330144375,469.1437285,63.4641155,Calculado,Calculado,21.00759805,14.35,0,5.981,5.592,0.0,22,4.92,0.93,0.328,0.062,20.2,21.00759805,21.00759805
91,Bermeo,16507,901,True,1096.0,1078.0,3.79248198,0.91846033625,303.3985584,73.4768269,Calculado,Calculado,67.36094231625,62.65,1,37.602,37.304,6.07,17,3.55,0.93,0.237,0.062,67.13,67.36094231625,73.43094231625
92,Bernagoitia,36,901,True,1413.0,1078.0,35.8706173075,0.91846033625,2869.6493846,73.4768269,Calculado,Calculado,59.03907764375,22.25,0,17.827,16.37,0.0,38,20.92,0.93,1.394,0.062,44.1,59.03907764375,59.03907764375
93,Bernales,26,902,True,750.0,209.0,63.1924555825,1.58,5055.3964466,106.0,Calculado,Mapeado,144.39245558250002,79.62,2,55.49,52.171,8.85,7,48.18,1.58,3.213,0.106,129.38,144.39245558250002,153.2424555825
94,Berreagamendi,2046,904,True,1692.0,2220.0,0.4115104025,0.90773412,32.9208322,72.6187296,Calculado,Calculado,44.6392445225,43.32,1,19.323,19.243,5.5,15,0.5,0.7,0.034,0.047,44.52,44.6392445225,50.1392445225
