Origin,Origin_Population,Destination,Uses_Public_Transport,FromStopPointNo,ToStopPointNo,Access_Time_Minutes,Egress_Time_Minutes,Access_Distance_Meters,Egress_Distance_Meters,Total_Time_Minutes,Journey_Type,Mejor_JRT,Mejor_NTR,Mejor_RIT,Mejor_ACT,Mejor_EGT,Mejor_ACD,Mejor_EGD,Mejor_SFQ,Mejor_JRD,Mejor_RID,Mejor_TWT
208,29.0,716,True,2192.0,1078.0,6.9716527825,0.9184603362500001,557.7322226,73.4768269,41.24011311875,Public Transport,33.35,0.0,30.3,2.12,0.93,0.141,0.062,15.0,18.482,18.279,0.0
209,11.0,716,True,1658.0,1078.0,39.3197359725,0.9184603362500001,3145.5788778,73.4768269,87.12152964208335,Public Transport,46.88,0.0,22.7,23.25,0.93,1.55,0.062,15.0,14.917,13.305,0.0
210,1752.0,716,True,1391.0,1078.0,4.44348512875,0.9184603362500001,355.4788103,73.4768269,18.728612131666665,Public Transport,13.37,0.0,8.77,3.67,0.93,0.244,0.062,64.0,5.363,5.057,0.0
211,92.0,716,True,33541.0,1078.0,40.26613425,0.9184603362500001,3221.29074,73.4768269,104.30126125291667,Public Transport,63.12,0.0,29.43,32.75,0.93,2.183,0.062,35.0,24.049,21.803,0.0
212,116.0,717,True,929.0,249.0,8.35434202375,,668.3473619,,,Public Transport,38.6,0.0,32.67,4.42,1.52,0.294,0.101,17.0,22.427,22.032,0.0
213,798.0,717,True,894.0,249.0,7.99489916875,,639.5919335,,,Public Transport,18.67,0.0,11.85,5.3,1.52,0.353,0.101,32.0,7.322,6.867,0.0
214,26.0,713,True,1299.0,1274.0,2.936338025,2.98574116875,234.907042,238.8592935,22.07207919375,Public Transport,16.15,0.0,10.25,2.27,3.63,0.151,0.243,5.0,6.693,6.3,0.0
215,338.0,713,True,1046.0,1274.0,1.9769858262500002,2.98574116875,158.1588661,238.8592935,48.612726995,Public Transport,43.65,0.0,38.58,1.43,3.63,0.096,0.243,8.0,25.622,25.284,0.0
216,972.0,737,True,2092.0,2097.0,64.33634643375,6.648139412499999,5146.9077147,531.851153,106.50115251291666,Public Transport,35.52,0.0,7.25,25.8,2.47,1.72,0.164,22.0,5.588,3.704,0.0
217,31.0,729,True,993.0,1446.0,19.86610739375,5.18588491375,1589.2885915,414.8707931,86.88532564083333,Public Transport,61.83,1.0,40.65,16.68,4.5,1.112,0.3,14.0,29.688,28.276,0.55
218,769.0,515,True,2028.0,26.0,4.64523105125,0.28810997125000004,371.6184841,23.0487977,15.766674355833333,Public Transport,11.48,0.0,6.43,4.63,0.42,0.309,0.027,41.0,2.683,2.347,0.0
219,38.0,716,True,1390.0,1078.0,13.005274505,0.9184603362500001,1040.4219604,73.4768269,32.65706817458333,Public Transport,18.73,0.0,9.95,7.85,0.93,0.524,0.062,63.0,6.361,5.775,0.0
220,2874.0,727,True,1417.0,2280.0,3.04426207125,1.67989424,243.5409657,134.3915392,9.507489644583332,Public Transport,4.78,0.0,0.75,2.75,1.28,0.183,0.086,101.0,0.905,0.636,0.0
221,101.0,727,True,1432.0,1375.0,1.19522312625,1.6399802562499999,95.6178501,131.1984205,12.468536715833332,Public Transport,9.63,0.0,6.92,1.43,1.28,0.096,0.086,3.0,3.549,3.367,0.0
222,143.0,716,True,1394.0,1078.0,8.94999037125,0.9184603362500001,715.9992297,73.4768269,21.935117374166666,Public Transport,12.07,0.0,4.12,7.02,0.93,0.468,0.062,65.0,3.063,2.532,0.0
223,61.0,713,True,1018.0,1689.0,16.1113813975,0.7462701862500001,1288.9105118,59.7016149,34.80765158375,Public Transport,17.95,0.0,2.1,15.37,0.48,1.025,0.032,50.0,2.678,1.622,0.0
